timestamp,tweet_text,username,all_hashtags,followers_count,location
2020-04-14 02:28:52,"b""Did a cover of (Can't Help Falling In Love - Elvis Presley)  https://t.co/bQwtX1rKkG  Check It out   #COVID19 #StayHome #HanumanJayanti #coronavirus #\xe0\xa4\xb8\xe0\xa4\xa4\xe0\xa4\xad\xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xa4\xe0\xa4\xbf_\xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xaf\xe0\xa5\x8b\xe0\xa4\x82_\xe0\xa4\x9c\xe0\xa4\xbc\xe0\xa4\xb0\xe0\xa5\x82\xe0\xa4\xb0\xe0\xa5\x80 #StaySafe #lockdown #\xe0\xa4\xb9\xe0\xa4\xa8\xe0\xa5\x81\xe0\xa4\xae\xe0\xa4\xbe\xe0\xa4\xa8_\xe0\xa4\x9c\xe0\xa4\xaf\xe0\xa4\x82\xe0\xa4\xa4\xe0\xa5\x80""",b'Aypee07389504',"['COVID19', 'StayHome', 'HanumanJayanti', 'coronavirus', 'सतभक्ति_क्यों_ज़रूरी', 'StaySafe', 'lockdown', 'हनुमान_जयंती']",0,b''
2020-04-14 02:28:45,"b'This new Interactive Element, In-Game Purchases (Includes Random Items), will be assigned to any game that contains in-game offers to purchase digital goods or premiums with real world currency. [source: TheVerge]  #esrp #tech  #news #breakingnews #covid19 #coronavirus https://t.co/PINZLQ0xJG'",b'oisro_tech',"['esrp', 'tech', 'news', 'breakingnews', 'covid19', 'coronavirus']",145,b''
2020-04-14 02:28:39,"b'Watch @PaulaReidCBS refuse to back down, never allowing the President to lie, talk over her, or insult her. Terrific journalism, bravo! #TrumpPressConference #TrumpMeltdown #cnnmeltdown #COVID19 #coronavirus  https://t.co/JPJnnAx7PQ'",b'ChristianDems',"['TrumpPressConference', 'TrumpMeltdown', 'cnnmeltdown', 'COVID19', 'coronavirus']",19333,b'United States'
2020-04-14 02:28:35,b'FOLLOW THE MONEY  Because Here Comes the MANDATORY #Coronavirus #Vaccine https://t.co/xP3i7R5pXj @BenSwann_ #BigPharma #BillGates #Fauci #ProfitsOverPeople #Plutocracy #COVID19 #QuarantineLife #lockdown',b'GVENTS',"['Coronavirus', 'Vaccine', 'BigPharma', 'BillGates', 'Fauci', 'ProfitsOverPeople', 'Plutocracy', 'COVID19', 'QuarantineLife', 'lockdown']",554,b'South East Florida'
2020-04-14 02:28:31,"b'#CORONAVIRUS #CORONAVIRUSTRUTH #COVID19 #CHINA #TRUMP #CONSPIRACY China Coronavirus is Linked to the Former Leader of the Chinese Communist Party, His Family and Soros Investments. Does This Surprise Anyone?  https://t.co/Sp0T5uRhJB https://t.co/W2oBNnrT2O'",b'SITSSHOW',"['CORONAVIRUS', 'CORONAVIRUSTRUTH', 'COVID19', 'CHINA', 'TRUMP', 'CONSPIRACY']",12601,b'Stillness in the Storm'
2020-04-14 02:28:25,b'Allergies? \xf0\x9f\xa4\xa7\xf0\x9f\x91\x83  #merchantserviceinnovations #selfquarantine #flattenthecurve #socialdistancing #coronavirusmeme #coronavirus #covid19 #sarscov2 #meme #memes #funnymemes #lol #dankmemes #dankmeme #memer #memestagram #allergies #pollen #sneezing #cough https://t.co/tJYf0bU5Im',b'msinnovations',"['merchantserviceinnovations', 'selfquarantine', 'flattenthecurve', 'socialdistancing', 'coronavirusmeme', 'coronavirus', 'covid19', 'sarscov2', 'meme', 'memes', 'funnymemes', 'lol', 'dankmemes', 'dankmeme', 'memer', 'memestagram', 'allergies', 'pollen', 'sneezing', 'cough']",363,"b'Minneapolis, MN'"
2020-04-14 02:28:21,b'$FIVE Reveals additional actions in response to the current business environment created by COVID-19       #FiveBelow   #Coronavirus    #COVID19    https://t.co/vPY5Dw0Cv3',b'HottestStockNow',"['FiveBelow', 'Coronavirus', 'COVID19']",1215,"b'Las Vegas, NV'"
2020-04-14 02:28:20,"b""@CNN It\xe2\x80\x99s troubling when it comes to how @realDonaldTrump and his administration dealt with early warning signs that the virus was going to be very, very bad. President Trump's too-slow reaction to coronavirus pandemic is killing tens of thousands of Americans. #COVID19 #coronavirus""",b'trumpedupagain',"['COVID19', 'coronavirus']",7,b''
2020-04-14 02:28:20,b'#covid19 #babyboom  What do we name the new generation?! #coronavirus #TrumpMeltdown #COVID2019 #QuarantineLife https://t.co/YLVKlFUYxP',b'CrtlAna',"['covid19', 'babyboom', 'coronavirus', 'TrumpMeltdown', 'COVID2019', 'QuarantineLife']",30,"b'New York, USA'"
2020-04-14 02:28:11,"b'As awful as Covid-19 is, telecommuting has given me a break from day to day White Supremacy. My blood pressure has decreased and I feel calmer than usual. Even though the threat of possible death lurks around every corner. Life is a puzzle. #coronavirus  #COVID19 #21daylockdown'",b'RALPHREMINGTON',"['coronavirus', 'COVID19', '21daylockdown']",1221,"b'Tempe, AZ'"
